signal_time,entry_time,exit_time,dir,entry,exit,qty,gross_pnl,fees,funding,pnl,hold_hours,bars_held,reason
2025-04-21 08:00:00+00:00,2025-04-21 12:00:00+00:00,2025-04-26 16:00:00+00:00,long,86944.6936,94322.5668,0.03251445332352346,239.8875137882747,-2.6522126448114474,-0.45568834173764977,236.77961280172562,124.0,30,max_hold_time
2025-04-26 12:00:00+00:00,2025-04-26 16:00:00+00:00,2025-05-01 20:00:00+00:00,long,94341.4332,96485.3505,0.05279405688068199,113.18609188367822,-4.533534032856929,-4.8034956295663935,103.84906222125488,124.0,30,max_hold_time
2025-05-01 16:00:00+00:00,2025-05-01 20:00:00+00:00,2025-05-06 12:00:00+00:00,long,96504.6495,93272.9438365626,0.0530373683268889,-171.40116359582234,-4.529386853091813,-5.819442731879001,-181.74999318079315,112.0,28,stop
2025-05-06 16:00:00+00:00,2025-05-06 20:00:00+00:00,2025-05-08 20:00:00+00:00,long,94965.4956,103307.89400841703,0.029861188197963157,249.11392889612944,-2.6643055507852558,-1.8388636291884493,244.61075971615574,48.0,12,profit_target_50pct
2025-05-06 16:00:00+00:00,2025-05-06 20:00:00+00:00,2025-05-12 00:00:00+00:00,long,94965.4956,104189.58,0.029861188197963157,275.4421202222963,-2.6761532368820307,-8.944837471891882,263.82112951352235,124.0,30,max_hold_time
2025-05-12 08:00:00+00:00,2025-05-12 12:00:00+00:00,2025-05-17 16:00:00+00:00,long,103847.3837,102950.70390000001,0.04666318011493473,-41.84193101282356,-4.342435384096282,-9.603239736779638,-55.787606133699484,124.0,30,max_hold_time
2025-05-19 12:00:00+00:00,2025-05-19 16:00:00+00:00,2025-05-23 20:00:00+00:00,long,104898.48879999999,107189.75945629971,0.03982614448329607,91.25247620812922,-3.8009957482190515,-15.54305432306159,71.90842613684859,100.0,25,trailing_stop
2025-05-24 04:00:00+00:00,2025-05-24 08:00:00+00:00,2025-05-29 12:00:00+00:00,long,107530.752,108834.1155,0.033876475475027326,44.15336164279601,-3.298355607384579,-4.712702333871399,36.14230370154003,124.0,30,max_hold_time
2025-06-03 12:00:00+00:00,2025-06-03 16:00:00+00:00,2025-06-05 16:00:00+00:00,long,106616.6606,103297.89937442326,0.05398672506192493,-179.16904983138878,-5.099669836125363,-2.5432136026687275,-186.81193327018286,48.0,12,stop
2025-06-09 16:00:00+00:00,2025-06-09 20:00:00+00:00,2025-06-12 08:00:00+00:00,long,108563.8553,107336.70288441228,0.060801652998583845,-74.61289534893804,-5.907199869418138,-8.543492015559192,-89.06358723391537,60.0,15,trailing_stop
2025-06-16 16:00:00+00:00,2025-06-16 20:00:00+00:00,2025-06-17 08:00:00+00:00,long,108660.865,105462.57263789467,0.05430923639466178,-173.6968159528198,-5.232996176541318,-0.7997510264932401,-179.72956315585435,12.0,3,stop
2025-06-20 04:00:00+00:00,2025-06-20 08:00:00+00:00,2025-06-20 16:00:00+00:00,long,105836.5826,102593.29707321522,0.05241510367084818,-169.99714712058554,-4.916193188028293,-0.5509272924187346,-175.4642676010326,8.0,2,stop
2025-06-25 16:00:00+00:00,2025-06-25 20:00:00+00:00,2025-07-01 00:00:00+00:00,long,107713.7703,107130.2859,0.04209887279537694,-24.564035533686887,-4.070111666762976,-4.510914457592697,-33.14506165804256,124.0,30,max_hold_time
2025-06-30 20:00:00+00:00,2025-07-01 00:00:00+00:00,2025-07-06 04:00:00+00:00,long,107151.7141,108029.196,0.06761387540196,59.32995185407504,-6.5471468599717895,-9.282023271333802,43.500781722769446,124.0,30,max_hold_time
2025-07-10 04:00:00+00:00,2025-07-10 08:00:00+00:00,2025-07-14 00:00:00+00:00,long,111219.1208,119604.37995667878,0.029488553059963937,247.26915956327048,-3.0629929722974767,-6.962887673766119,237.24327891720688,88.0,22,profit_target_50pct
2025-07-10 04:00:00+00:00,2025-07-10 08:00:00+00:00,2025-07-15 00:00:00+00:00,long,111219.1208,118976.30590701329,0.029488553059963937,228.74816462412323,-3.0546585245748603,-11.4988353883057,214.19467071124268,112.0,28,trailing_stop
2025-07-15 16:00:00+00:00,2025-07-15 20:00:00+00:00,2025-07-20 20:00:00+00:00,long,116484.6473,117082.08987974416,0.03729347614653881,22.28071059661564,-3.91973199373696,-14.74300350277251,3.6179751001061717,120.0,30,trailing_stop
2025-08-07 20:00:00+00:00,2025-08-08 00:00:00+00:00,2025-08-11 20:00:00+00:00,long,117496.7485,118433.6324779464,0.05412546471055781,50.70928068622508,-5.746428679396634,-8.285715362584412,36.67713664424403,92.0,23,trailing_stop
2025-08-11 20:00:00+00:00,2025-08-12 00:00:00+00:00,2025-08-14 12:00:00+00:00,long,118768.8757,119630.64094171571,0.04813999089000303,41.48537088551544,-5.164447751690994,-10.278720889509234,26.04220224431521,60.0,15,trailing_stop
2025-08-15 00:00:00+00:00,2025-08-15 04:00:00+00:00,2025-08-18 08:00:00+00:00,long,119015.9004,114601.07039400976,0.04005003861742901,-176.8141122292934,-4.210365915894094,-4.4697545223692,-185.49423266755673,76.0,19,stop
2025-09-13 00:00:00+00:00,2025-09-13 04:00:00+00:00,2025-09-18 08:00:00+00:00,long,115972.5961,117099.2889,0.06350791692962912,71.55391274761152,-6.660859460045431,-10.723722509775865,54.16933077779022,124.0,30,max_hold_time
2025-09-18 04:00:00+00:00,2025-09-18 08:00:00+00:00,2025-09-22 00:00:00+00:00,long,117122.7111,114066.07916861204,0.05717646991593214,-174.76742366908152,-5.948351510262318,-7.303362055300701,-188.01913723464455,88.0,22,stop
2025-10-02 04:00:00+00:00,2025-10-02 08:00:00+00:00,2025-10-07 12:00:00+00:00,long,118446.8435,124509.5478,0.05362109382306549,325.0888360918025,-5.862414353764821,-13.850052179943535,305.3763695580941,124.0,30,max_hold_time
2025-10-07 08:00:00+00:00,2025-10-07 12:00:00+00:00,2025-10-07 16:00:00+00:00,long,124534.4522,120942.16528174776,0.04925695683261231,-176.94512166270854,-5.44114401782136,-0.38142363334852014,-182.76768931387844,4.0,1,stop
2025-10-07 16:00:00+00:00,2025-10-07 20:00:00+00:00,2025-10-10 12:00:00+00:00,long,121690.1678,119383.82697312969,0.04070063268103937,-93.86953083173294,-4.41533884959538,-3.3027729857094617,-101.5876426670378,64.0,16,trailing_stop
2025-10-17 04:00:00+00:00,2025-10-17 08:00:00+00:00,2025-10-20 08:00:00+00:00,short,105578.4411,111438.37596690604,0.029086057945279232,-170.4424050943913,-2.840473672338641,2.1478124231416036,-171.13506634358833,72.0,18,stop
2025-10-21 04:00:00+00:00,2025-10-21 08:00:00+00:00,2025-10-21 12:00:00+00:00,short,108008.1981,112320.8388402182,0.038805647691616915,-167.35481718542178,-3.84750494268091,0.0954094995657016,-171.10691262853697,4.0,1,stop
2025-10-22 08:00:00+00:00,2025-10-22 12:00:00+00:00,2025-10-26 08:00:00+00:00,short,107491.2498,113014.35337696807,0.029626391200394,-163.62962721155117,-2.939753367719864,3.691209318561846,-162.8781712607092,92.0,23,stop
